TeddyShop,http://www.rakuten.co.jp/teddyshop/,4.52,http://review.rakuten.co.jp/shop/4/267575_267575/1.1/,-,152413,s19tz100371,レディースファッション > 水着,2011/11/16,○,○,○,○,http://www.rakuten.co.jp/teddyshop/info.html,株式会社ハヤシビジネス,〒658-0023 兵庫県神戸市東灘区深江浜町102番地,teddyshop_3@shop.rakuten.co.jp,TEL:078-435-6815  FAX:078-435-6818,余　華鋒,金沢　裕介,金沢　裕介,2016/04/13,2017/05/10
イーザッカマニアストアーズ,http://www.rakuten.co.jp/e-zakkamania/,4.63,http://review.rakuten.co.jp/shop/4/200612_200612/1.1/,○,152128,s19tz100371,レディースファッション > トップス,2002/10/29,○,-,○,○,http://www.rakuten.co.jp/e-zakkamania/info.html,有限会社ズーティー,〒650-0024 兵庫県神戸市中央区海岸通2-2-3 東和ビル5F,e-zakkamania@shop.rakuten.co.jp,TEL:078-321-7615  FAX:078-321-7616,今石　雄介,浅野　かおり(イーザッカマニアストアーズ事務局),今石　雄介,2016/04/13,2017/05/10
Dark Angel,http://www.rakuten.co.jp/darkangel/,3.99,http://review.rakuten.co.jp/shop/4/224379_224379/1.1/,-,125167,s19tz100371,レディースファッション > トップス,2006/11/13,○,○,○,○,http://www.rakuten.co.jp/darkangel/info.html,株式会社Ｗ?ＣＡＩ,〒173-0014 東京都板橋区大山東町3-10 ニュー板橋マンション　２F,darkangel@shop.rakuten.co.jp darkangel_11@shop.rakuten.co.jp,TEL:03-3579-8608  FAX:03-3579-8608,森岡　孜恵,森岡　勉(店舗運営),森岡　勉,2016/04/13,2017/05/10
aquagarage（アクアガレージ）,http://www.rakuten.co.jp/garageshop/,4.58,http://review.rakuten.co.jp/shop/4/251058_251058/1.1/,-,81771,s19tz100371,レディースファッション > トップス,2009/09/25,○,-,○,○,http://www.rakuten.co.jp/garageshop/info.html,有限会社伊勢屋コンサルタント,〒737-2302 広島県江田島市能美町鹿川3426-1,garageshop@shop.rakuten.co.jp,TEL:0823-40-2753  FAX:0823-45-4287,山下　真由美,山下　真由美(楽天部門),山下　真由美,2016/04/13,2017/05/10
NETSTAR　ネットスター,http://www.rakuten.co.jp/netstar/,4.39,http://review.rakuten.co.jp/shop/4/227116_227116/1.1/,-,79677,s19tz100371,レディースファッション > トップス,2007/03/14,○,-,○,○,http://www.rakuten.co.jp/netstar/info.html,株式会社ＷＡＴＡＢＥＪＫ,〒125-0062 東京都葛飾区青戸４－２０－１１－３Ｆ,netstar@shop.rakuten.co.jp,TEL:03-6240-7247  FAX:03-6240-7259,石川　美里,石川　美里,石川　美里,2016/04/13,2017/05/10
オシャレウォーカー　osharewalker,http://www.rakuten.co.jp/osharewalker/,4.61,http://review.rakuten.co.jp/shop/4/229008_229008/1.1/,-,76364,s19tz100371,レディースファッション > トップス,2007/05/16,○,-,○,○,http://www.rakuten.co.jp/osharewalker/info.html,株式会社ｍｉｇｈｔｙ,〒594-0083 大阪府和泉市池上町2丁目1-15    株式会社mighty 経理課,osharewalker@shop.rakuten.co.jp osharewalker_2@shop.rakuten.co.jp,TEL:0725-40-0087  FAX:0725-90-7375,木下　常一,梶原　葉子(本店),木下　常一,2016/04/13,2017/05/10
Pierrot【ピエロ】,http://www.rakuten.co.jp/pierrot/,4.57,http://review.rakuten.co.jp/shop/4/219537_219537/1.1/,-,74837,s19tz100371,レディースファッション > トップス,2006/04/26,○,-,○,○,http://www.rakuten.co.jp/pierrot/info.html,有限会社セレクト,〒541-0056 大阪府大阪市中央区久太郎町2丁目5-19　丸忠第3ビル　7F,pierrot_3@shop.rakuten.co.jp,TEL:06-6245-1205  FAX:06-6245-1148,栗原　和美,江副 雅直(WEB事業部),江副 雅直,2016/04/13,2017/05/10
soulberry,http://www.rakuten.co.jp/soulberry/,4.61,http://review.rakuten.co.jp/shop/4/209527_209527/1.1/,○,71002,s19tz100371,レディースファッション > トップス,2004/12/06,○,-,○,○,http://www.rakuten.co.jp/soulberry/info.html,株式会社グァルダ,〒540-0010 大阪府大阪市中央区材木町1-8 SRビル本町東8F,soulberry_13@shop.rakuten.co.jp soulberry_16@shop.rakuten.co.jp,TEL:06-6809-2695  FAX:06-6809-2694,扇田　保昭,扇田　良子(soulberry),扇田　良子,2016/04/13,2017/05/10
神戸レタス （KOBE LETTUCE）,http://www.rakuten.co.jp/mobacaba/,4.55,http://review.rakuten.co.jp/shop/4/231322_231322/1.1/,○,65596,s19tz100371,レディースファッション > トップス,2007/10/29,○,-,○,○,http://www.rakuten.co.jp/mobacaba/info.html,株式会社マキシム,〒651-0084 兵庫県神戸市中央区磯辺通3丁目２-11　三宮ファーストビル8F,mobacaba@shop.rakuten.co.jp,TEL:078-271-3005  FAX:078-271-7767,橋本　充生,林　純司,橋本　充生,2016/04/13,2017/05/10
Re：EDIT（リエディ）ギャルスター,http://www.rakuten.co.jp/galstar/,4.50,http://review.rakuten.co.jp/shop/4/231218_231218/1.1/,-,63567,s19tz100371,レディースファッション > トップス,2007/09/12,○,-,○,○,http://www.rakuten.co.jp/galstar/info.html,株式会社ネオグラフィック,〒550-0013 大阪府大阪市西区新町2丁目4-2なにわ筋SIAビル16階,galstar_17@shop.rakuten.co.jp,TEL:06-6567-9000  FAX:06-6536-3556,工藤　正樹,工藤　正樹(通販事業部),工藤　正樹,2016/04/13,2017/05/10
